Customer_id,Date_disb,pay_type,area_code,pin_code,state,dealer,product_code,tenure,roi,emi,proc_fee,asset_cost,loan_amt,gender,qualification,employ_type,resid_type,age,cibil_score,net_salary,net_irr,fraud
0,2/13/2020,ACH,3075,530041,AP,DEALER,SC,0.470588235,-0.793281608,0.124252057,-0.093757816,87000,71000,M,OTHERS,SAL,O,0.306122449,-0.906781205,0.158169082,-1.321152847,0
1,06-02-2020,ADM,3075,532123,AP,DEALER,SC,0.352941176,-0.952044904,0.083863126,-0.572295098,61500,51000,F,PG,SAL,O,0.551020408,0.1632039,1.161336461,-1.308268664,0
2,10-02-2020,ADM,3075,533218,AP,ASC,SC,0.352941176,0.318061467,0.210078534,0.913554648,87000,74038,M,SSC,SEP,O,0.530612245,,0.910544616,0.605032534,0
3,10-02-2020,ADM,3075,532484,AP,DEALER,SC,0.352941176,-1.309262321,0.166510845,0.649592802,84000,69720,M,OTHERS,AGR,O,0.224489796,-0.167981966,-0.544048083,-1.098900688,0
4,10-02-2020,ADM,3075,530046,AP,DEALER,SC,0.352941176,-0.71389996,0.092090501,-0.572295098,61500,52220,F,HSC,SAL,O,0.224489796,,-0.343414608,-0.986164085,0
5,07-02-2020,ADM,3075,530045,AP,DEALER,SC,0.235294118,-0.956013987,0.150056096,-0.448829073,61500,51000,F,UG,SAL,O,0.673469388,,0.158169082,-0.921743169,0
6,07-02-2020,ADM,3075,535578,AP,DEALER,SC,0.352941176,-0.436064191,0.194184742,-0.093757816,87000,73000,M,SSC,SAL,O,0.142857143,,-0.343414608,-0.12614486,0
7,2/16/2020,ADM,3075,532001,AP,DEALER,SC,0.411764706,-1.190189849,0.170157068,0.70579113,86000,70152,M,HSC,SEP,O,0.734693878,-0.804877862,-0.092622763,-0.908858986,0
8,04-02-2020,ADM,3075,533461,AP,DEALER,SC,0.549019608,0.536361,0.141548242,0.743256683,84000,70684,M,HSC,AGR,O,0.224489796,-0.728450354,0.408960927,0.6308009,0
9,2/28/2020,ADM,3072,787001,AS,DEALER,SC,0.588235294,0.754660533,0.105553478,0.70749411,86600,70072,F,HSC,SEP,O,0.510204082,,-0.092622763,0.534169526,0
10,2/29/2020,ACH,3072,788005,AS,DEALER,SC,0.588235294,-0.118537598,0.07460733,-1.726063812,78863,64720,M,HSC,SEP,O,0.551020408,-0.397264488,0.810227878,-0.950732582,0
11,2/29/2020,ADM,3072,788005,AS,DEALER,SC,0.588235294,-0.118537598,0.123504114,-1.726063812,92403,78528,F,PG,SEP,O,0.326530612,,0.158169082,-0.992606177,0
12,2/29/2020,ADM,3072,786012,AS,ASC,SC,0.588235294,0.714969708,0.105646971,0.858207809,84279,70241,F,UG,SEP,O,0.12244898,,0.408960927,0.701663907,0
